iShares ESG MSCI USA Leaders ETF
Inception Date,"May 07, 2019"
Fund Holdings as of,"Nov 27, 2019"
Total Net Assets,"1,694,591,231.98"
Shares Outstanding,"31,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AJG","ARTHUR J GALLAGHER","Equity","0.13","93.30","23,101.00","2,155,323.30","2,155,323.30","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"OMC","OMNICOM GROUP INC","Equity","0.13","79.95","26,878.00","2,148,896.10","2,148,896.10","Communication","2279303","US6819191064","New York Stock Exchange Inc."
"HES","HESS CORP","Equity","0.13","63.12","34,023.00","2,147,531.76","2,147,531.76","Energy","2023748","US42809H1077","New York Stock Exchange Inc."
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.13","38.65","55,505.00","2,145,268.25","2,145,268.25","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","0.13","46.44","46,143.00","2,142,880.92","2,142,880.92","Materials","2465254","US4601461035","New York Stock Exchange Inc."
"PEAK","HEALTHPEAK PROPERTIES INC","Equity","0.13","35.10","60,971.00","2,140,082.10","2,140,082.10","Real Estate","BJBLRK3","US42250P1030","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.12","42.23","50,281.00","2,123,366.63","2,123,366.63","Financials","2740542","BMG0450A1053","NASDAQ"
"NUE","NUCOR CORP","Equity","0.12","56.40","37,637.00","2,122,726.80","2,122,726.80","Materials","2651086","US6703461052","New York Stock Exchange Inc."
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.12","173.61","12,129.00","2,105,715.69","2,105,715.69","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"K","KELLOGG","Equity","0.12","65.61","31,718.00","2,081,017.98","2,081,017.98","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc."
"MRVL","MARVELL TECHNOLOGY GROUP LTD","Equity","0.12","26.68","77,962.00","2,080,026.16","2,080,026.16","Information Technology","2594653","BMG5876H1051","NASDAQ"
"RF","REGIONS FINANCIAL CORP","Equity","0.12","16.74","123,336.00","2,064,644.64","2,064,644.64","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"CAH","CARDINAL HEALTH INC","Equity","0.12","55.22","37,013.00","2,043,857.86","2,043,857.86","Health Care","2175672","US14149Y1082","New York Stock Exchange Inc."
"DOV","DOVER CORP","Equity","0.12","112.10","18,056.00","2,024,077.60","2,024,077.60","Industrials","2278407","US2600031080","New York Stock Exchange Inc."
"KMX","CARMAX INC","Equity","0.12","98.31","20,558.00","2,021,056.98","2,021,056.98","Consumer Discretionary","2983563","US1431301027","New York Stock Exchange Inc."
"CE","CELANESE CORP","Equity","0.11","126.53","15,363.00","1,943,880.39","1,943,880.39","Materials","B05MZT4","US1508701034","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.11","55.21","34,612.00","1,910,928.52","1,910,928.52","Financials","2803014","US74251V1026","NASDAQ"
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.11","14.92","127,892.00","1,908,148.64","1,908,148.64","Financials","2445966","US4461501045","NASDAQ"
"GPC","GENUINE PARTS","Equity","0.11","105.21","18,135.00","1,907,983.35","1,907,983.35","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"KSU","KANSAS CITY SOUTHERN","Equity","0.11","154.56","12,341.00","1,907,424.96","1,907,424.96","Industrials","2607647","US4851703029","New York Stock Exchange Inc."
"WAT","WATER CORP","Equity","0.11","223.55","8,289.00","1,853,005.95","1,853,005.95","Health Care","2937689","US9418481035","New York Stock Exchange Inc."
"CTXS","CITRIX SYSTEMS INC","Equity","0.11","113.52","16,252.00","1,844,927.04","1,844,927.04","Information Technology","2182553","US1773761002","NASDAQ"
"GWW","WW GRAINGER INC","Equity","0.11","319.24","5,764.00","1,840,099.36","1,840,099.36","Industrials","2380863","US3848021040","New York Stock Exchange Inc."
"KKR","KKR AND CO INC CLASS A","Equity","0.11","29.77","60,967.00","1,814,987.59","1,814,987.59","Financials","BG1FRR1","US48251W1045","New York Stock Exchange Inc."
"TIF","TIFFANY","Equity","0.11","133.52","13,498.00","1,802,252.96","1,802,252.96","Consumer Discretionary","2892090","US8865471085","New York Stock Exchange Inc."
"DGX","QUEST DIAGNOSTICS INC","Equity","0.11","107.13","16,720.00","1,791,213.60","1,791,213.60","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"DRI","DARDEN RESTAURANTS INC","Equity","0.11","117.46","15,247.00","1,790,912.62","1,790,912.62","Consumer Discretionary","2289874","US2371941053","New York Stock Exchange Inc."
"BMRN","BIOMARIN PHARMACEUTICAL INC","Equity","0.11","80.38","22,281.00","1,790,946.78","1,790,946.78","Health Care","2437071","US09061G1013","NASDAQ"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Equity","0.10","141.42","12,593.00","1,780,902.06","1,780,902.06","Materials","2464165","US4595061015","New York Stock Exchange Inc."
"AMTD","TD AMERITRADE HOLDING CORP","Equity","0.10","52.16","34,005.00","1,773,700.80","1,773,700.80","Financials","2983154","US87236Y1082","NASDAQ"
"CTL","CENTURYLINK INC","Equity","0.10","14.55","121,879.00","1,773,339.45","1,773,339.45","Communication","2185046","US1567001060","New York Stock Exchange Inc."
"BKR","BAKER HUGHES COMPANY","Equity","0.10","22.55","78,388.00","1,767,649.40","1,767,649.40","Energy","BDHLTQ5","US05722G1004","New York Stock Exchange Inc."
"EXPE","EXPEDIA GROUP INC","Equity","0.10","101.51","17,399.00","1,766,172.49","1,766,172.49","Consumer Discretionary","B748CK2","US30212P3038","NASDAQ"
"LNG","CHENIERE ENERGY INC","Equity","0.10","61.27","28,692.00","1,757,958.84","1,757,958.84","Energy","2654364","US16411R2085","Nyse Mkt Llc"
"UDR","UDR REIT INC","Equity","0.10","48.03","36,355.00","1,746,130.65","1,746,130.65","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"XYL","XYLEM INC","Equity","0.10","77.61","22,351.00","1,734,661.11","1,734,661.11","Industrials","B3P2CN8","US98419M1009","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","0.10","51.02","33,500.00","1,709,170.00","1,709,170.00","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"HOLX","HOLOGIC INC","Equity","0.10","51.40","33,186.00","1,705,760.40","1,705,760.40","Health Care","2433530","US4364401012","NASDAQ"
"ABC","AMERISOURCEBERGEN CORP","Equity","0.10","88.51","19,243.00","1,703,197.93","1,703,197.93","Health Care","2795393","US03073E1055","New York Stock Exchange Inc."
"MAS","MASCO CORP","Equity","0.10","47.13","35,713.00","1,683,153.69","1,683,153.69","Industrials","2570200","US5745991068","New York Stock Exchange Inc."
"NVR","NVR INC","Equity","0.10","3,803.18","432.00","1,642,973.76","1,642,973.76","Consumer Discretionary","2637785","US62944T1051","New York Stock Exchange Inc."
"CBOE","CBOE GLOBAL MARKETS INC","Equity","0.10","118.44","13,865.00","1,642,170.60","1,642,170.60","Financials","B5834C5","US12503M1080","Cboe BZX formerly known as BATS"
"VMW","VMWARE CLASS A INC","Equity","0.10","161.15","10,168.00","1,638,573.20","1,638,573.20","Information Technology","B23SN61","US9285634021","New York Stock Exchange Inc."
"HRL","HORMEL FOODS CORP","Equity","0.10","44.88","36,452.00","1,635,965.76","1,635,965.76","Consumer Staples","2437264","US4404521001","New York Stock Exchange Inc."
"HAS","HASBRO INC","Equity","0.10","101.93","15,972.00","1,628,025.96","1,628,025.96","Consumer Discretionary","2414580","US4180561072","NASDAQ"
"ULTA","ULTA BEAUTY INC","Equity","0.10","233.98","6,941.00","1,624,055.18","1,624,055.18","Consumer Discretionary","B28TS42","US90384S3031","NASDAQ"
"GRMN","GARMIN LTD","Equity","0.10","98.14","16,520.00","1,621,272.80","1,621,272.80","Consumer Discretionary","B3Z5T14","CH0114405324","NASDAQ"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Equity","0.09","75.75","21,196.00","1,605,597.00","1,605,597.00","Industrials","2325507","US3021301094","NASDAQ"
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.09","17.75","90,445.00","1,605,398.75","1,605,398.75","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"STE","STERIS","Equity","0.09","152.68","10,514.00","1,605,277.52","1,605,277.52","Health Care","BFY8C75","IE00BFY8C754","New York Stock Exchange Inc."
"LBRDK","LIBERTY BROADBAND CORP SERIES C","Equity","0.09","119.92","13,272.00","1,591,578.24","1,591,578.24","Communication","BRTLC06","US5303073051","NASDAQ"
"XRAY","DENTSPLY SIRONA INC","Equity","0.09","57.11","27,835.00","1,589,656.85","1,589,656.85","Health Care","BYNPPC6","US24906P1093","NASDAQ"
"DRE","DUKE REALTY REIT CORP","Equity","0.09","35.28","44,874.00","1,583,154.72","1,583,154.72","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"ALLY","ALLY FINANCIAL INC","Equity","0.09","32.20","48,841.00","1,572,680.20","1,572,680.20","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
"LNT","ALLIANT ENERGY CORP","Equity","0.09","53.05","29,488.00","1,564,338.40","1,564,338.40","Utilities","2973821","US0188021085","NASDAQ"
"AES","AES CORP","Equity","0.09","18.89","82,418.00","1,556,876.02","1,556,876.02","Utilities","2002479","US00130H1059","New York Stock Exchange Inc."
"IEX","IDEX CORP","Equity","0.09","163.31","9,417.00","1,537,890.27","1,537,890.27","Industrials","2456612","US45167R1041","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","0.09","31.26","49,186.00","1,537,554.36","1,537,554.36","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"VAR","VARIAN MEDICAL SYSTEMS INC","Equity","0.09","133.55","11,305.00","1,509,782.75","1,509,782.75","Health Care","2927516","US92220P1057","New York Stock Exchange Inc."
"URI","UNITED RENTALS INC","Equity","0.09","156.46","9,615.00","1,504,362.90","1,504,362.90","Industrials","2134781","US9113631090","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.09","234.87","6,375.00","1,497,296.25","1,497,296.25","Financials","2808053","US78486Q1013","NASDAQ"
"NDAQ","NASDAQ INC","Equity","0.09","104.25","14,313.00","1,492,130.25","1,492,130.25","Financials","2965107","US6311031081","NASDAQ"
"LNC","LINCOLN NATIONAL CORP","Equity","0.09","59.47","24,849.00","1,477,770.03","1,477,770.03","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Equity","0.09","54.64","26,767.00","1,462,548.88","1,462,548.88","Consumer Discretionary","B9CGTC3","BMG667211046","New York Stock Exchange Inc."
"JKHY","JACK HENRY ANS ASSOCIATES INC","Equity","0.09","152.61","9,559.00","1,458,798.99","1,458,798.99","Information Technology","2469193","US4262811015","NASDAQ"
"DPZ","DOMINOS PIZZA INC","Equity","0.08","295.33","4,864.00","1,436,485.12","1,436,485.12","Consumer Discretionary","B01SD70","US25754A2015","New York Stock Exchange Inc."
"WU","WESTERN UNION","Equity","0.08","27.28","52,580.00","1,434,382.40","1,434,382.40","Information Technology","B1F76F9","US9598021098","New York Stock Exchange Inc."
"DISCK","DISCOVERY INC SERIES C","Equity","0.08","30.65","46,315.00","1,419,554.75","1,419,554.75","Communication","B3D7KG4","US25470F3029","NASDAQ"
"TSCO","TRACTOR SUPPLY","Equity","0.08","95.49","14,766.00","1,410,005.34","1,410,005.34","Consumer Discretionary","2900335","US8923561067","NASDAQ"
"RJF","RAYMOND JAMES INC","Equity","0.08","90.48","15,546.00","1,406,602.08","1,406,602.08","Financials","2718992","US7547301090","New York Stock Exchange Inc."
"ALLE","ALLEGION PLC","Equity","0.08","121.56","11,467.00","1,393,928.52","1,393,928.52","Industrials","BFRT3W7","IE00BFRT3W74","New York Stock Exchange Inc."
"AAP","ADVANCE AUTO PARTS INC","Equity","0.08","158.78","8,770.00","1,392,500.60","1,392,500.60","Consumer Discretionary","2822019","US00751Y1064","New York Stock Exchange Inc."
"LKQ","LKQ CORP","Equity","0.08","35.66","38,389.00","1,368,951.74","1,368,951.74","Consumer Discretionary","2971029","US5018892084","NASDAQ"
"AVY","AVERY DENNISON CORP","Equity","0.08","130.81","10,453.00","1,367,356.93","1,367,356.93","Materials","2066408","US0536111091","New York Stock Exchange Inc."
"ARMK","ARAMARK","Equity","0.08","44.25","30,654.00","1,356,439.50","1,356,439.50","Consumer Discretionary","BH3XG17","US03852U1060","New York Stock Exchange Inc."
"CPT","CAMDEN PROPERTY TRUST REIT","Equity","0.08","112.22","12,020.00","1,348,884.40","1,348,884.40","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"ETFC","E TRADE FINANCIAL CORP","Equity","0.08","44.49","29,902.00","1,330,339.98","1,330,339.98","Financials","2299011","US2692464017","NASDAQ"
"CMA","COMERICA INC","Equity","0.08","70.94","18,739.00","1,329,344.66","1,329,344.66","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.08","167.30","7,791.00","1,303,434.30","1,303,434.30","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"EQH","AXA EQUITABLE HOLDINGS INC","Equity","0.08","24.96","52,199.00","1,302,887.04","1,302,887.04","Financials","BYWV2Y6","US0545611057","New York Stock Exchange Inc."
"CHRW","CH ROBINSON WORLDWIDE INC","Equity","0.08","77.75","16,657.00","1,295,081.75","1,295,081.75","Industrials","2116228","US12541W2098","NASDAQ"
"TRMB","TRIMBLE INC","Equity","0.08","41.08","31,260.00","1,284,160.80","1,284,160.80","Information Technology","2903958","US8962391004","NASDAQ"
"HSIC","HENRY SCHEIN INC","Equity","0.08","69.96","18,340.00","1,283,066.40","1,283,066.40","Health Care","2416962","US8064071025","NASDAQ"
"NBL","NOBLE ENERGY INC","Equity","0.07","21.23","59,309.00","1,259,130.07","1,259,130.07","Energy","2640761","US6550441058","New York Stock Exchange Inc."
"FDS","FACTSET RESEARCH SYSTEMS INC","Equity","0.07","261.85","4,750.00","1,243,787.50","1,243,787.50","Financials","2329770","US3030751057","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.07","132.40","9,306.00","1,232,114.40","1,232,114.40","Real Estate","2333931","US3137472060","New York Stock Exchange Inc."
"MTN","VAIL RESORTS INC","Equity","0.07","246.67","4,991.00","1,231,129.97","1,231,129.97","Consumer Discretionary","2954194","US91879Q1094","New York Stock Exchange Inc."
"NI","NISOURCE INC","Equity","0.07","26.53","46,352.00","1,229,718.56","1,229,718.56","Utilities","2645409","US65473P1057","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","0.07","87.39","13,942.00","1,218,391.38","1,218,391.38","Utilities","2048804","US7234841010","New York Stock Exchange Inc."
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.07","62.23","19,420.00","1,208,506.60","1,208,506.60","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"MRO","MARATHON OIL CORP","Equity","0.07","11.88","100,167.00","1,189,983.96","1,189,983.96","Energy","2910970","US5658491064","New York Stock Exchange Inc."
"DAL","DELTA AIR LINES INC","Equity","0.07","57.07","20,181.00","1,151,729.67","1,151,729.67","Industrials","B1W9D46","US2473617023","New York Stock Exchange Inc."
"WHR","WHIRLPOOL CORP","Equity","0.07","145.65","7,887.00","1,148,741.55","1,148,741.55","Consumer Discretionary","2960384","US9633201069","New York Stock Exchange Inc."
"IRM","IRON MOUNTAIN INC","Equity","0.07","31.98","35,645.00","1,139,927.10","1,139,927.10","Real Estate","BVFTF03","US46284V1017","New York Stock Exchange Inc."
"DVN","DEVON ENERGY CORP","Equity","0.07","22.51","50,449.00","1,135,606.99","1,135,606.99","Energy","2480677","US25179M1036","New York Stock Exchange Inc."
"LII","LENNOX INTERNATIONAL INC","Equity","0.07","259.14","4,361.00","1,130,109.54","1,130,109.54","Industrials","2442053","US5261071071","New York Stock Exchange Inc."
"LBTYK","LIBERTY GLOBAL PLC CLASS C","Equity","0.07","21.67","51,631.00","1,118,843.77","1,118,843.77","Communication","B8W67B1","GB00B8W67B19","NASDAQ"
"FBHS","FORTUNE BRANDS HOME AND SECURITY I","Equity","0.07","64.38","17,367.00","1,118,087.46","1,118,087.46","Industrials","B3MC7D6","US34964C1062","New York Stock Exchange Inc."
"ZION","ZIONS BANCORPORATION","Equity","0.06","50.07","21,970.00","1,100,037.90","1,100,037.90","Financials","2989828","US9897011071","NASDAQ"
"SNA","SNAP ON INC","Equity","0.06","162.38","6,771.00","1,099,474.98","1,099,474.98","Industrials","2818740","US8330341012","New York Stock Exchange Inc."
"NOV","NATIONAL OILWELL VARCO INC","Equity","0.06","22.78","47,910.00","1,091,389.80","1,091,389.80","Energy","2624486","US6370711011","New York Stock Exchange Inc."
"BWA","BORGWARNER INC","Equity","0.06","42.50","25,639.00","1,089,657.50","1,089,657.50","Consumer Discretionary","2111955","US0997241064","New York Stock Exchange Inc."
"APA","APACHE CORP","Equity","0.06","23.22","46,677.00","1,083,839.94","1,083,839.94","Energy","2043962","US0374111054","New York Stock Exchange Inc."
"JLL","JONES LANG LASALLE INC","Equity","0.06","168.08","6,396.00","1,075,039.68","1,075,039.68","Real Estate","2040640","US48020Q1076","New York Stock Exchange Inc."
"TRGP","TARGA RESOURCES CORP","Equity","0.06","36.90","28,899.00","1,066,373.10","1,066,373.10","Energy","B55PZY3","US87612G1013","New York Stock Exchange Inc."
"MHK","MOHAWK INDUSTRIES INC","Equity","0.06","141.26","7,515.00","1,061,568.90","1,061,568.90","Consumer Discretionary","2598699","US6081901042","New York Stock Exchange Inc."
"JAZZ","JAZZ PHARMACEUTICALS PLC","Equity","0.06","150.11","7,029.00","1,055,123.19","1,055,123.19","Health Care","B4Q5ZN4","IE00B4Q5ZN47","NASDAQ"
"AFG","AMERICAN FINANCIAL GROUP INC","Equity","0.06","110.61","9,491.00","1,049,799.51","1,049,799.51","Financials","2134532","US0259321042","New York Stock Exchange Inc."
"ST","SENSATA TECHNOLOGIES HOLDING PLC","Equity","0.06","52.30","20,033.00","1,047,725.90","1,047,725.90","Industrials","BFMBMT8","GB00BFMBMT84","New York Stock Exchange Inc."
"BEN","FRANKLIN RESOURCES INC","Equity","0.06","27.88","37,120.00","1,034,905.60","1,034,905.60","Financials","2350684","US3546131018","New York Stock Exchange Inc."
"HFC","HOLLYFRONTIER CORP","Equity","0.06","52.30","19,780.00","1,034,494.00","1,034,494.00","Energy","B5VX1H6","US4361061082","New York Stock Exchange Inc."
"VOYA","VOYA FINANCIAL INC","Equity","0.06","58.34","17,658.00","1,030,167.72","1,030,167.72","Financials","BKWQ2N2","US9290891004","New York Stock Exchange Inc."
"FTI","TECHNIPFMC PLC","Equity","0.06","19.50","52,660.00","1,026,870.00","1,026,870.00","Energy","BDSFG98","GB00BDSFG982","New York Stock Exchange Inc."
"AIZ","ASSURANT INC","Equity","0.06","133.30","7,491.00","998,550.30","998,550.30","Financials","2331430","US04621X1081","New York Stock Exchange Inc."
"DELL","DELL TECHNOLOGIES INC CLASS C","Equity","0.06","50.32","19,583.00","985,416.56","985,416.56","Information Technology","BHKD3S6","US24703L2025","New York Stock Exchange Inc."
"LUV","SOUTHWEST AIRLINES","Equity","0.06","57.75","16,828.00","971,817.00","971,817.00","Industrials","2831543","US8447411088","New York Stock Exchange Inc."
"KSS","KOHLS CORP","Equity","0.06","48.32","20,033.00","967,994.56","967,994.56","Consumer Discretionary","2496113","US5002551043","New York Stock Exchange Inc."
"CPB","CAMPBELL SOUP","Equity","0.06","47.06","20,564.00","967,741.84","967,741.84","Consumer Staples","2162845","US1344291091","New York Stock Exchange Inc."
"NWL","NEWELL BRANDS INC","Equity","0.06","19.28","49,938.00","962,804.64","962,804.64","Consumer Discretionary","2635701","US6512291062","NASDAQ"
"TPR","TAPESTRY INC","Equity","0.06","27.02","35,212.00","951,428.24","951,428.24","Consumer Discretionary","BF09HX3","US8760301072","New York Stock Exchange Inc."
"BG","BUNGE LTD","Equity","0.06","53.45","17,575.00","939,383.75","939,383.75","Consumer Staples","2788713","BMG169621056","New York Stock Exchange Inc."
"OC","OWENS CORNING","Equity","0.05","67.91","13,507.00","917,260.37","917,260.37","Industrials","B1FW7Q2","US6907421019","New York Stock Exchange Inc."
"PBCT","PEOPLES UNITED FINANCIAL INC","Equity","0.05","16.47","55,058.00","906,805.26","906,805.26","Financials","B1W41J2","US7127041058","NASDAQ"
"PVH","PVH CORP","Equity","0.05","97.45","9,207.00","897,222.15","897,222.15","Consumer Discretionary","B3V9F12","US6936561009","New York Stock Exchange Inc."
"PNR","PENTAIR","Equity","0.05","44.34","20,033.00","888,263.22","888,263.22","Industrials","BLS09M3","IE00BLS09M33","New York Stock Exchange Inc."
"NLSN","NIELSEN HOLDINGS PLC","Equity","0.05","19.83","44,158.00","875,653.14","875,653.14","Industrials","BWFY550","GB00BWFY5505","New York Stock Exchange Inc."
"IVZ","INVESCO LTD","Equity","0.05","17.70","48,933.00","866,114.10","866,114.10","Financials","B28XP76","BMG491BT1088","New York Stock Exchange Inc."
"MOS","MOSAIC","Equity","0.05","19.00","45,511.00","864,709.00","864,709.00","Materials","B3NPHP6","US61945C1036","New York Stock Exchange Inc."
"SBNY","SIGNATURE BANK","Equity","0.05","124.48","6,854.00","853,185.92","853,185.92","Financials","B00JQL9","US82669G1040","NASDAQ"
"WBC","WABCO HOLDINGS INC","Equity","0.05","134.93","6,323.00","853,162.39","853,162.39","Industrials","B23CNQ3","US92927K1025","New York Stock Exchange Inc."
"RHI","ROBERT HALF","Equity","0.05","58.60","14,423.00","845,187.80","845,187.80","Industrials","2110703","US7703231032","New York Stock Exchange Inc."
"EWBC","EAST WEST BANCORP INC","Equity","0.05","46.30","17,765.00","822,519.50","822,519.50","Financials","2487407","US27579R1041","NASDAQ"
"PRGO","PERRIGO PLC","Equity","0.05","50.91","15,770.00","802,850.70","802,850.70","Health Care","BGH1M56","IE00BGH1M568","New York Stock Exchange Inc."
"FLS","FLOWSERVE CORP","Equity","0.05","48.92","16,011.00","783,258.12","783,258.12","Industrials","2288406","US34354P1057","New York Stock Exchange Inc."
"AXTA","AXALTA COATING SYSTEMS LTD","Equity","0.04","28.67","25,802.00","739,743.34","739,743.34","Materials","BSFWCF5","BMG0750C1082","New York Stock Exchange Inc."
"HOG","HARLEY DAVIDSON INC","Equity","0.04","36.97","19,392.00","716,922.24","716,922.24","Consumer Discretionary","2411053","US4128221086","New York Stock Exchange Inc."
"CPRI","CAPRI HOLDINGS LTD","Equity","0.04","37.50","18,818.00","705,675.00","705,675.00","Consumer Discretionary","BJ1N1M9","VGG1890L1076","New York Stock Exchange Inc."
"MAN","MANPOWER INC","Equity","0.04","94.51","7,373.00","696,822.23","696,822.23","Industrials","2562490","US56418H1005","New York Stock Exchange Inc."
"HBI","HANESBRANDS INC","Equity","0.04","15.40","43,902.00","676,090.80","676,090.80","Consumer Discretionary","B1BJSL9","US4103451021","New York Stock Exchange Inc."
"AYI","ACUITY BRANDS INC","Equity","0.04","133.21","4,864.00","647,933.44","647,933.44","Industrials","2818461","US00508Y1029","New York Stock Exchange Inc."
"DISCA","DISCOVERY INC SERIES A","Equity","0.04","33.12","19,270.00","638,222.40","638,222.40","Communication","B3D7K31","US25470F1049","NASDAQ"
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.03","171.63","3,090.00","530,336.70","530,336.70","Financials","2311711","US29530P1021","NASDAQ"
"JWN","NORDSTROM INC","Equity","0.03","38.32","13,148.00","503,831.36","503,831.36","Consumer Discretionary","2641827","US6556641008","New York Stock Exchange Inc."
"GPS","GAP INC","Equity","0.03","16.91","27,725.00","468,829.75","468,829.75","Consumer Discretionary","2360326","US3647601083","New York Stock Exchange Inc."
"LBTYA","LIBERTY GLOBAL PLC CLASS A","Equity","0.03","22.66","19,875.00","450,367.50","450,367.50","Communication","B8W6766","GB00B8W67662","NASDAQ"
"UAA","UNDER ARMOUR INC CLASS A","Equity","0.03","19.10","22,597.00","431,602.70","431,602.70","Consumer Discretionary","B0PZN11","US9043111072","New York Stock Exchange Inc."
"UA","UNDER ARMOUR INC CLASS C","Equity","0.02","17.49","23,715.00","414,775.35","414,775.35","Consumer Discretionary","BDF9YM2","US9043112062","New York Stock Exchange Inc."
"UHAL","AMERCO","Equity","0.02","365.31","1,118.00","408,416.58","408,416.58","Industrials","2028174","US0235861004","NASDAQ"
"TRIP","TRIPADVISOR INC","Equity","0.02","28.68","12,982.00","372,323.76","372,323.76","Communication","B6ZC3N6","US8969452015","NASDAQ"
"HBCFT","CASH COLLATERAL USD HBCFT","Cash Collateral and Margins","0.01","100.00","160,000.00","160,000.00","160,000.00","Cash and/or Derivatives","-","-","-"
"ESZ9","S&P500 EMINI DEC 19","Futures","0.00","3,153.80","25.00","0.00","3,942,250.00","Cash and/or Derivatives","-","-","Index And Options Market"
"USD","USD CASH","Cash","-0.05","100.00","-834,243.00","-834,242.81","-834,242.81","Cash and/or Derivatives","-","-","-"
 
